product_id,sku,category_id,brand,model,cost_price,selling_price,manufacture_date,status,supplier_id
1,ST-KIN-0001,12,Kingston,DataTraveler Max,17379,19117,2025-10-02,In Stock,16
2,CO-HP-0002,8,HP,Wireless Keyboard 330,6488,7721,2025-12-05,In Stock,4
3,CA-PAN-0003,10,Panasonic,Lumix S5 II,232175,287897,2025-09-15,In Stock,36
4,CA-PAN-0004,10,Panasonic,Lumix GH7,293549,352259,2026-03-01,In Stock,36
5,TE-SAM-0005,6,Samsung,Neo QLED 65,199412,247271,2025-09-23,In Stock,2
6,CA-SON-0006,10,Sony,Alpha A6700,161244,193493,2026-03-06,Discontinued,7
7,CA-NIK-0007,10,Nikon,Z8,53145,62711,2026-07-09,Discontinued,34
8,TA-LEN-0008,3,Lenovo,Tab P12,20678,25641,2026-01-21,Out of Stock,5
9,SM-GOO-0009,1,Google,Pixel 10,83566,101951,2025-08-04,In Stock,20
10,AU-SON-0010,5,Sony,ULT WEAR,8750,10062,2026-02-27,In Stock,7
11,GA-RAZ-0011,9,Razer,DeathAdder V3,42860,53575,2026-05-21,In Stock,33
12,CO-HP-0012,8,HP,Wireless Keyboard 330,5315,6484,2025-12-15,In Stock,4
13,CA-PAN-0013,10,Panasonic,Lumix G9 II,121234,141844,2026-02-11,In Stock,36
14,LA-MSI-0014,2,MSI,Modern 15,39616,44766,2025-12-09,In Stock,22
15,TE-LG-0015,6,LG,QNED86 65,174430,214549,2025-10-10,In Stock,6
16,ST-WES-0016,12,Western Digital,My Passport 2TB,5673,6581,2026-06-18,In Stock,39
17,ST-SEA-0017,12,Seagate,FireCuda 530,10981,13616,2026-02-28,In Stock,40
18,AU-SON-0018,5,Sony,WH-1000XM6,13072,15033,2025-11-06,In Stock,7
19,TE-HIS-0019,6,Hisense,A6N,288760,323411,2026-01-24,In Stock,18
20,CA-NIK-0020,10,Nikon,Z50 II,196956,244225,2026-03-07,Discontinued,34
21,AU-APP-0021,5,Apple,Airpods Pro 2,34744,43430,2025-10-31,Out of Stock,1
22,SM-GAR-0022,4,Garmin,Venu 3,43062,47368,2025-11-12,In Stock,12
23,ST-WES-0023,12,Western Digital,WD Black SN850X,25750,30642,2026-03-01,Out of Stock,39
24,SM-SAM-0024,4,Samsung,Galaxy Watch FE,7067,8763,2025-10-17,Coming Soon,2
25,LA-DEL-0025,2,Dell,Xps 13,25169,29951,2026-01-24,In Stock,3
26,TE-TCL-0026,6,TCL,C855,112836,137660,2026-07-14,Out of Stock,41
27,NE-CIS-0027,11,Cisco,ISR 1100 Router,22307,26768,2026-04-20,Out of Stock,14
28,SM-XIA-0028,1,Xiaomi,Poco F7,57887,65991,2025-09-26,In Stock,11
29,HO-BOS-0029,7,Bosch,Dishwasher SMS6,36017,43581,2026-03-13,In Stock,26
30,GA-NIN-0030,9,Nintendo,Switch 2,31837,37249,2026-02-27,Coming Soon,32
31,TE-TCL-0031,6,TCL,C755,50694,56777,2025-09-21,Out of Stock,41
32,LA-DEL-0032,2,Dell,Xps 13,48408,56153,2026-05-18,In Stock,3
33,AU-SAM-0033,5,Samsung,Galaxy Buds 3 Pro,12249,13474,2025-10-31,In Stock,2
34,TA-XIA-0034,3,Xiaomi,Pad 7,69461,85437,2026-07-03,In Stock,11
35,HO-WHI-0035,7,Whirlpool,3D Cool AC,194793,220116,2025-08-12,In Stock,25
36,CO-COR-0036,8,Corsair,HS80 Headset,24426,27601,2025-09-21,Out of Stock,29
37,HO-IFB-0037,7,IFB,Neptune Dishwasher,205189,231864,2025-12-05,In Stock,27
38,LA-DEL-0038,2,Dell,Latitude 540,125267,156584,2026-06-24,Out of Stock,3
39,HO-IFB-0039,7,IFB,Microwave Oven,25039,31299,2025-11-27,In Stock,27
40,SM-GAR-0040,4,Garmin,Venu 3,14981,17078,2026-03-27,In Stock,12
41,GA-RAZ-0041,9,Razer,DeathAdder V3,76509,87220,2026-06-05,In Stock,33
42,ST-SAN-0042,12,SanDisk,Ultra microSDXC 256GB,6000,7320,2026-01-18,In Stock,17
43,SM-AMA-0043,4,Amazfit,GTR 4,41964,52455,2026-06-19,Out of Stock,13
44,TE-SAM-0044,6,Samsung,Neo QLED 65,271611,323217,2025-11-23,In Stock,2
45,AU-JBL-0045,5,JBL,Live 770NC,1575,1890,2026-05-08,In Stock,23
46,NE-D-L-0046,11,D-Link,DGS-1210 Switch,22703,27244,2026-07-25,Out of Stock,38
47,ST-SAN-0047,12,SanDisk,Extreme Portable SSD,893,1081,2025-12-18,Out of Stock,17
48,SM-SAM-0048,1,Samsung,Galaxy M36,103113,122704,2026-05-31,In Stock,2
49,CO-LOG-0049,8,Logitech,MX Keys S,19226,21341,2026-03-24,In Stock,28
50,TA-LEN-0050,3,Lenovo,Tab M11,50798,60450,2025-10-17,In Stock,5
51,SM-XIA-0051,1,Xiaomi,Poco F7,68871,76447,2025-08-27,In Stock,11
52,TA-SAM-0052,3,Samsung,Galaxy Tab A9+,53236,64948,2025-11-04,In Stock,2
53,TA-SAM-0053,3,Samsung,Galaxy Tab S10 Ultra,50456,55502,2025-10-05,Out of Stock,2
54,AU-SAM-0054,5,Samsung,Galaxy Buds 3 Pro,30478,36269,2025-12-18,Out of Stock,2
55,GA-ASU-0055,9,ASUS,ROG Ally,26479,30451,2026-01-24,In Stock,8
56,ST-KIN-0056,12,Kingston,KC3000 SSD,26354,31625,2026-01-03,Out of Stock,16
57,ST-WES-0057,12,Western Digital,My Passport 2TB,34659,41937,2025-10-12,In Stock,39
58,NE-D-L-0058,11,D-Link,DWR-M921 Router,48718,60410,2026-06-12,Out of Stock,38
59,AU-JBL-0059,5,JBL,Flip 7,885,1089,2025-09-12,In Stock,23
60,SM-AMA-0060,4,Amazfit,Balance,26518,33148,2026-03-01,In Stock,13
61,GA-NIN-0061,9,Nintendo,Nintendo Switch OLED,63506,71762,2026-03-27,In Stock,32
62,NE-D-L-0062,11,D-Link,DWR-M921 Router,18128,20303,2026-03-27,In Stock,38
63,LA-DEL-0063,2,Dell,Inspiron 15,153209,177722,2025-12-02,In Stock,3
64,GA-RAZ-0064,9,Razer,DeathAdder V3,11408,12777,2026-06-16,Out of Stock,33
65,TE-LG-0065,6,LG,UQ75 55,175318,212135,2026-05-18,In Stock,6
66,GA-ASU-0066,9,ASUS,ROG Ally,50849,61019,2026-07-17,In Stock,8
67,NE-NET-0067,11,Netgear,GS308 Switch,39417,47300,2025-12-30,In Stock,37
68,NE-UBI-0068,11,Ubiquiti,EdgeRouter X,48563,57790,2025-12-26,In Stock,15
69,SM-ONE-0069,1,OnePlus,OnePlus 13,41372,51301,2026-03-10,In Stock,19
70,NE-CIS-0070,11,Cisco,Catalyst 9200,29207,33880,2026-08-01,In Stock,14
71,ST-WES-0071,12,Western Digital,My Passport 2TB,20151,25189,2025-10-30,In Stock,39
72,TA-APP-0072,3,Apple,ipad Pro 13,13810,15191,2025-12-27,In Stock,1
73,CO-TP--0073,8,TP-Link,USB Bluetooth Adapter,20105,22518,2026-01-31,In Stock,30
74,NE-NET-0074,11,Netgear,Orbi RBK852,5924,6516,2026-05-01,In Stock,37
75,ST-SEA-0075,12,Seagate,Barracuda 2TB,23192,27830,2025-08-12,In Stock,40
76,HO-SAM-0076,7,Samsung,Side-by-Side Refrigerator,245423,284691,2026-05-30,In Stock,2
77,CO-HP-0077,8,HP,Wireless Keyboard 330,9852,10837,2025-08-03,In Stock,4
78,SM-ONE-0078,1,OnePlus,OnePlus Nord CE 5,91119,102053,2026-02-08,Out of Stock,19
79,SM-SAM-0079,1,Samsung,Galaxy M36,9337,11204,2025-12-04,In Stock,2
80,GA-ASU-0080,9,ASUS,ROG Ally,53958,67448,2025-08-07,In Stock,8
81,TE-HIS-0081,6,Hisense,A6N,242058,288049,2026-05-29,In Stock,18
82,CO-DEL-0082,8,Dell,WD19 Dock,15045,17452,2025-10-03,In Stock,3
83,CA-PAN-0083,10,Panasonic,Lumix S5 II,316562,348218,2026-05-30,In Stock,36
84,LA-ACE-0084,2,Acer,Nitro v,102045,114290,2025-10-06,Coming Soon,9
85,TA-SAM-0085,3,Samsung,Galaxy Tab S10+,19658,24179,2025-09-15,In Stock,2
86,NE-D-L-0086,11,D-Link,DWR-M921 Router,38418,43412,2026-03-05,In Stock,38
87,NE-NET-0087,11,Netgear,Nighthawk AX12,3650,4307,2025-10-27,In Stock,37
88,ST-SAM-0088,12,Samsung,980 SSD,22664,25157,2026-02-09,In Stock,2
